project_title,description,category,sensors,actuators,controllers,components
Fire Detection,detect fire using flame sensor variation 0,IoT,Motion Sensor|Humidity Sensor,Relay,ESP32,Motion Sensor|Humidity Sensor|Relay|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 1,Robotics,Flame Sensor|Humidity Sensor,None,ESP32,Flame Sensor|Humidity Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 2,Robotics,Soil Sensor,Motor Driver,ESP8266,Soil Sensor|Motor Driver|ESP8266
Home Automation,control home devices using wifi variation 3,IoT,IR Sensor|Flame Sensor,Servo Motor,ESP8266,IR Sensor|Flame Sensor|Servo Motor|ESP8266
Fire Detection,detect fire using flame sensor variation 4,IoT,Ultrasonic Sensor,Buzzer,ESP32,Ultrasonic Sensor|Buzzer|ESP32
Smart Irrigation,automatic watering using soil moisture variation 5,IoT,LDR Sensor,Buzzer,ESP32,LDR Sensor|Buzzer|ESP32
Air Quality Monitoring,monitor pollution levels variation 6,IoT,Flame Sensor|IR Sensor,Valve,ESP32,Flame Sensor|IR Sensor|Valve|ESP32
Home Automation,control home devices using wifi variation 7,IoT,IR Sensor|LDR Sensor,Valve,ESP32,IR Sensor|LDR Sensor|Valve|ESP32
Smart Farming,monitor agriculture conditions variation 8,IoT,LDR Sensor|Motion Sensor,None,ESP32,LDR Sensor|Motion Sensor|ESP32
Smart Lighting,automatic lighting control variation 9,IoT,Soil Sensor,None,ESP32,Soil Sensor|ESP32
Smart Lighting,automatic lighting control variation 10,IoT,IR Sensor|Flame Sensor,None,ESP8266,IR Sensor|Flame Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 11,IoT,Ultrasonic Sensor|Motion Sensor,Servo Motor,Arduino,Ultrasonic Sensor|Motion Sensor|Servo Motor|Arduino
Air Quality Monitoring,monitor pollution levels variation 12,IoT,LDR Sensor|Gas Sensor,None,Arduino,LDR Sensor|Gas Sensor|Arduino
Weather Monitoring,monitor temperature and humidity variation 13,IoT,Flame Sensor,None,Arduino,Flame Sensor|Arduino
Home Automation,control home devices using wifi variation 14,IoT,Temperature Sensor,Valve,ESP32,Temperature Sensor|Valve|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 15,Robotics,Ultrasonic Sensor|Humidity Sensor,None,ESP32,Ultrasonic Sensor|Humidity Sensor|ESP32
Home Automation,control home devices using wifi variation 16,IoT,Soil Sensor,None,ESP8266,Soil Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 17,IoT,IR Sensor|Ultrasonic Sensor,Motor Driver,ESP32,IR Sensor|Ultrasonic Sensor|Motor Driver|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 18,Robotics,Ultrasonic Sensor|Motion Sensor,Buzzer,Arduino,Ultrasonic Sensor|Motion Sensor|Buzzer|Arduino
Home Automation,control home devices using wifi variation 19,IoT,Soil Sensor,None,Arduino,Soil Sensor|Arduino
Weather Monitoring,monitor temperature and humidity variation 20,IoT,Motion Sensor,None,ESP32,Motion Sensor|ESP32
Smart Parking,detect parking availability variation 21,IoT,LDR Sensor,Valve,ESP8266,LDR Sensor|Valve|ESP8266
Smart Security System,detect intruders using sensors variation 22,IoT,Motion Sensor,None,Arduino,Motion Sensor|Arduino
Smart Security System,detect intruders using sensors variation 23,IoT,LDR Sensor,Relay,Arduino,LDR Sensor|Relay|Arduino
Line Following Robot,robot follows path using IR sensors variation 24,Robotics,Temperature Sensor|Flame Sensor,LED,ESP8266,Temperature Sensor|Flame Sensor|LED|ESP8266
Smart Lighting,automatic lighting control variation 25,IoT,Gas Sensor|Motion Sensor,Relay,ESP8266,Gas Sensor|Motion Sensor|Relay|ESP8266
Home Automation,control home devices using wifi variation 26,IoT,IR Sensor,Motor Driver,ESP32,IR Sensor|Motor Driver|ESP32
Smart Irrigation,automatic watering using soil moisture variation 27,IoT,Ultrasonic Sensor,Buzzer,ESP8266,Ultrasonic Sensor|Buzzer|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 28,IoT,LDR Sensor,None,Arduino,LDR Sensor|Arduino
Water Level Indicator,monitor water level in tank variation 29,IoT,Humidity Sensor|Soil Sensor,None,ESP32,Humidity Sensor|Soil Sensor|ESP32
Smart Farming,monitor agriculture conditions variation 30,IoT,IR Sensor,None,ESP32,IR Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 31,IoT,Ultrasonic Sensor,None,Arduino,Ultrasonic Sensor|Arduino
Smart Security System,detect intruders using sensors variation 32,IoT,Flame Sensor,None,Arduino,Flame Sensor|Arduino
Home Automation,control home devices using wifi variation 33,IoT,Motion Sensor|Soil Sensor,None,ESP32,Motion Sensor|Soil Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 34,IoT,Ultrasonic Sensor,Motor Driver,ESP32,Ultrasonic Sensor|Motor Driver|ESP32
Smart Farming,monitor agriculture conditions variation 35,IoT,LDR Sensor|Humidity Sensor,None,ESP32,LDR Sensor|Humidity Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 36,IoT,Ultrasonic Sensor|Gas Sensor,LED,ESP8266,Ultrasonic Sensor|Gas Sensor|LED|ESP8266
Weather Monitoring,monitor temperature and humidity variation 37,IoT,Temperature Sensor,None,ESP8266,Temperature Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 38,IoT,Soil Sensor,None,ESP32,Soil Sensor|ESP32
Smart Security System,detect intruders using sensors variation 39,IoT,Gas Sensor,None,ESP8266,Gas Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 40,Robotics,Motion Sensor|Humidity Sensor,None,Arduino,Motion Sensor|Humidity Sensor|Arduino
Home Automation,control home devices using wifi variation 41,IoT,Flame Sensor|Ultrasonic Sensor,Water Pump,ESP8266,Flame Sensor|Ultrasonic Sensor|Water Pump|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 42,Robotics,LDR Sensor|Humidity Sensor,None,ESP32,LDR Sensor|Humidity Sensor|ESP32
Water Level Indicator,monitor water level in tank variation 43,IoT,Gas Sensor,Valve,ESP32,Gas Sensor|Valve|ESP32
Air Quality Monitoring,monitor pollution levels variation 44,IoT,LDR Sensor|Gas Sensor,Buzzer,Arduino,LDR Sensor|Gas Sensor|Buzzer|Arduino
Smart Security System,detect intruders using sensors variation 45,IoT,Motion Sensor|Flame Sensor,Valve,Arduino,Motion Sensor|Flame Sensor|Valve|Arduino
Smart Lighting,automatic lighting control variation 46,IoT,Motion Sensor|Soil Sensor,Motor Driver,ESP32,Motion Sensor|Soil Sensor|Motor Driver|ESP32
